committee_name,report_year,payee_name,payee_state,expenditure_description,expenditure_date,expenditure_amount,support_oppose_indicator,candidate_name,candidate_office,candidate_party
"GREENPEACE, INC.",2022,"GREENPEACE, INC.",DC,NA,2022-04-01T00:00:00Z,380.49,S,"CISNEROS, JESSICA",H,DEM
CONGRESSIONAL LEADERSHIP FUND,2022,FLEXPOINT MEDIA INC,OH,MEDIA PLACEMENT,2022-02-16T00:00:00Z,37500,O,"GARZA, MAURO",H,NA
COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,TEXAS TOOL BELT,TX,EXPENSES FOR CANVASSING- PRINTED LITERATURE,2022-01-28T00:00:00Z,1543,S,"CISNEROS, JESSICA",H,DEM
COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,TEXAS TOOL BELT,TX,EXPENSES FOR PHONE BANKING,2022-01-28T00:00:00Z,3694.73,S,"CISNEROS, JESSICA",H,DEM
WOMEN VOTE!,2022,WATERFRONT STRATEGIES,DC,TV MEDIA BUY,2022-05-12T00:00:00Z,51010.5,S,"CISNEROS, JESSICA",H,DEM
UNITED DEMOCRACY PROJECT (UDP),2022,MVAR MEDIA LLC,VA,MEDIA PRODUCTION/PLACEMENT,2022-05-17T00:00:00Z,47849.5,O,"CISNEROS, JESSICA",H,NA
UNITED DEMOCRACY PROJECT (UDP),2022,WATERFRONT STRATEGIES INC,DC,MEDIA PLACEMENT,2022-05-17T00:00:00Z,175144.5,O,"CISNEROS, JESSICA",H,NA
WFP NATIONAL PAC,2022,TEXAS TOOLBELT,TX,RELATIONAL ORGANIZING,2022-05-12T00:00:00Z,7000,O,"CISNEROS, JESSICA",H,DEM
MIJENTE PAC,2022,CONSOLIDATED PRESS,NC,NON-CONTRIBUTION ACCOUNT: GOTV LITERATURE,2022-02-22T00:00:00Z,246.5,S,"CISNEROS, JESSICA",H,DEM
CONGRESSIONAL LEADERSHIP FUND,2022,936 MEDIA,SC,MEDIA PRODUCTION,2022-02-22T00:00:00Z,1000,S,"DE LA CRUZ, MONICA",H,NA
MAINSTREAM DEMOCRATS PAC,2022,"SAGE MEDIA PLANNING & PLACEMENT, INC.",DC,DIGITAL ADVERTISING PRODUCTION,2022-05-10T00:00:00Z,8000,S,"CUELLAR, HENRY",H,DEM
WOMEN VOTE!,2022,THE PIVOT GROUP,DC,MAIHOUSE,2022-05-12T00:00:00Z,9361.67,O,"CUELLAR, HENRY",H,DEM
